Issue Type,Summary,Description,Epic Name,Epic Link,Story Points,Priority,Status,Labels
Epic,Инфраструктура Unity,"Установка и настройка всего, без чего нельзя собрать проект: CLI, редактор, лицензия, скрипт сборки, проверка в браузере.",Инфраструктура Unity,,,Highest,Done,unity
Epic,Арт-конвейер,"Превращение листов генераций в отдельные игровые ассеты: резка, проверка, импорт в Unity.",Арт-конвейер,,,Highest,Done,art
Epic,Мир и сцена,"Изометрическая карта колонии: раскладка, земля, камера, тапы по зданиям.",Мир и сцена,,,High,To Do,scene
Epic,Доменный слой,"Перенос экономики игры на C# с тестами. Числа приходят из каркаса, код им не противоречит.",Доменный слой,,,Highest,To Do,domain
Epic,Механики в интерфейсе,"Экраны механик: грядки, склад, дрон, шаттл, стройка.",Механики в интерфейсе,,,High,To Do,ui
Epic,Ощущение,"Отклик на действия: анимации, вылетающие числа, звук. То, из-за чего игра ощущается живой.",Ощущение,,,Medium,To Do,juice
Epic,Обучение,"Первые десять минут игрока: от пустой грядки до второго уровня и открытия дрона.",Обучение,,,High,To Do,ftue
Epic,Публикация,"Сборка выложена, ссылка работает с телефона.",Публикация,,,High,To Do,release
Task,Установить Unity CLI,"Терминальный клиент Unity. Приемка: unity --version отвечает.",,Инфраструктура Unity,1,Highest,Done,unity
Task,Установить редактор LTS с модулем Web,"Редактор 6000.0.64f1 и Web Build Support. Приемка: unity editors -i показывает платформу Web.",,Инфраструктура Unity,2,Highest,Done,unity
Task,Активировать лицензию Unity Personal,"Бесплатная лицензия через Hub. Приемка: unity license list показывает Unity Personal.",,Инфраструктура Unity,1,Highest,Done,unity
Task,Собрать каркас проекта из текстовых файлов,"Версия редактора, зависимости, структура папок — без кликов в редакторе. Приемка: редактор открывает проект без ошибок.",,Инфраструктура Unity,2,Highest,Done,unity
Task,Скрипт сборки WebGL с кодом возврата,"Сборка из терминала, Brotli, ненулевой код при провале. Приемка: Succeeded и код 0; при ошибке компиляции код 1.",,Инфраструктура Unity,3,Highest,Done,unity
Task,Проверка сборки в настоящем браузере,"Playwright открывает сборку, ждет старта плеера и окончания заставки. Приемка: кадр сцены получен, ошибок консоли ноль.",,Инфраструктура Unity,3,Highest,Done,unity
